head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13_0,head_13_1,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21_value_1,head_21_separator_1,head_21_value_2,head_21_separator_2,head_21_value_3,head_21_separator_3,head_21_value_4,head_22,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14_value_1,body_14_separator_1,body_14_value_2,body_14_separator_2,body_14_value_3,body_14_separator_3,body_14_value_4,body_15_value_1,body_15_separator_1,body_15_value_2,body_15_separator_2,body_15_value_3,body_15_separator_3,body_15_value_4,body_15_separator_4,body_15_value_5,body_16,body_17,body_18,body_19,body_20,body_21
1836279601,16777217,60,2023,10,13,14,11,53,0,500,site_117,7,2688,97159,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,584138076053.0,698.0,,,,0
1836279601,16777217,58,2023,10,13,14,11,57,0,0,site_117,2,2688,97175,6615057,0,0,,,,,8,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591665328361.0,6117.0,,,,0
1836279601,16777217,60,2023,10,13,14,11,57,0,600,site_117,2,2688,97176,6615057,0,0,,,,,5,;,6,;,,,,,630000,3,,,,,,,,,,80,65,3,,;,,,,,,,;,,,,,,,,599205727848.0,2060.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,0,0,200,site_117,2,2688,97176,6615057,0,0,,,,,5,;,6,;,,,,,630000,3,,,,,,,,,,80,65,3,,;,,,,,,,;,,,,,,,,599205727848.0,2060.0,,,,0
1836279601,16777217,59,2023,10,13,14,11,58,0,300,site_117,7,2688,97177,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591669160784.0,4199.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,10,0,400,site_117,7,2688,97177,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,2,,;,,,,,,,;,,,,,,,,591669160784.0,4199.0,,,,0
1836279601,16777217,57,2023,10,13,14,12,1,0,400,site_117,4,2688,97194,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17919444325.0,60.0,,,,0
1836279601,16777217,57,2023,10,13,14,12,5,0,300,site_117,4,2688,97194,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,17919444325.0,60.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,3,0,800,site_117,2,2688,97195,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,666818581127.0,1483.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,5,0,300,site_117,2,2688,97195,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,666818581127.0,1483.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,25,0,800,site_117,7,2688,97196,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,589515187615.0,2937.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,6,0,100,site_117,7,2688,97196,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,589515187615.0,2937.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,6,0,300,site_117,2,2688,97197,6615057,0,0,,,,,5,;,6,;,,,,,630000,3,,,,,,,,,,80,65,3,,;,,,,,,,;,,,,,,,,599205727848.0,2850.0,,,,0
1836279601,16777217,59,2023,10,13,14,12,9,0,0,site_117,7,2688,97213,6615057,0,0,,,,,6,;,,,,,,,630000,3,,,,,,,,,,80,65,5,,;,,,,,,,;,,,,,,,,597090869048.0,5144.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,11,0,500,site_117,7,2688,97214,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,1,,;,,,,,,,;,,,,,,,,584138076053.0,3593.0,,,,0
1836279601,16777217,60,2023,10,13,14,12,12,0,0,site_117,3,2688,97215,6615057,0,0,,,,,6,;,5,;,,,,,630000,3,,,,,,,,,,80,65,4,,;,,,,,,,;,,,,,,,,590626535400.0,1487.0,,,,0
1836279601,16777217,58,2023,10,13,14,12,12,0,200,site_117,2,2688,97216,6615056,0,0,,,,,9,;,,,,,,,630000,3,,,,,,,,,,5,128,1,,;,,,,,,,;,,,,,,,,21641757903.0,4362.0,,,,0
