head_7,head_8,head_10,head_12,head_13_0,head_13_1,head_14,head_17,head_18,head_19,head_20,body_846,body_847,body_848,body_849,body_850,body_852,body_853,body_854,body_855,body_856,body_857,body_860,body_861,body_862,body_863,body_864,body_867,body_868,body_869,body_870,body_871,body_874,body_875,body_876,body_877,body_878,body_881,body_882,body_883,body_884,body_885,body_888,body_889,body_890,body_891,body_892,body_895,body_896,body_897,body_898,body_899,body_902,body_903,body_904,body_905,body_906,body_909,body_910,body_911,body_912,body_913,body_916,body_917,body_918,body_919,body_920,body_923,body_924,body_965,body_966,body_967,body_968,body_969,body_970,body_971,body_972,body_973,body_974,body_975,body_976,body_977,body_978,body_979,body_980,body_981,body_982,body_983,body_984,body_985,body_2218,body_2219
53,42,400,3,55813253,2,6615040,,,,,5,1,1,1,0,1,1,1,,,,41,0,,,,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,1,15
53,51,400,2,55813253,3,6615040,,,,,5,0,1,1,0,0,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1,1,1,0,0,1,,,,,,,,,,,,,0,1
53,53,100,2,55813253,4,6615121,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
53,59,100,2,55813253,5,6615121,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,28,0,976,0,,38,0,0,64,0,40,0,0,95,0,41,0,0,,0,77,0,0,79,0,78,0,0,335,0,79,0,0,,0,80,0,,,,84,0,1,0,0,0,,,,,,,,,,,,,,,,,,0,0
54,13,500,2,55813254,7,6615121,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,28,0,976,0,,38,0,0,64,0,40,0,0,95,0,41,0,0,,0,77,0,0,79,0,78,0,0,335,0,79,0,0,,0,80,0,,,,84,0,1,0,0,0,,,,,,,,,,,,,,,,,,0,0
57,50,300,2,55813254,9,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
58,5,100,2,55813255,0,6615121,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
58,6,500,3,55813255,1,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
58,10,800,2,55813255,2,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
58,17,100,3,55813256,3,6615040,,,,,5,1,1,1,0,1,1,1,,,,41,0,,,,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,1,15
44,45,100,2,56232979,7,6615121,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
44,54,200,2,56232979,8,6615121,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,28,0,976,0,,38,0,0,64,0,40,0,0,95,0,41,0,0,,0,77,0,0,79,0,78,0,0,335,0,79,0,0,,0,80,0,,,,84,0,1,0,0,0,,,,,,,,,,,,,,,,,,0,0
44,57,500,3,56232979,9,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,79,0,0,15,0,28,1,976,0,0,78,0,0,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,0,1
45,2,200,2,56232980,0,6615040,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,79,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,0,,,,,,,,,,,,,,,,0,1
45,8,400,3,56232981,1,6615040,,,,,5,0,1,1,0,0,41,0,0,95,0,79,0,0,15,0,28,0,976,0,0,8,0,960,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1
44,55,400,2,56232981,2,6615121,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
49,53,600,2,56232981,4,6615121,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
50,9,0,3,56232982,8,6615040,,,,,5,1,1,1,1,1,1,1,1020,508,0,3,1,1020,508,0,5,1,992,480,0,8,1,960,448,0,28,1,976,464,0,38,1,1016,504,0,40,1,1020,511,0,41,1,476,479,0,77,1,508,511,0,78,1,476,479,0,,,3,0,1,1,,,,,,,,,,,,,,,,,,1,3
52,59,500,2,56232983,2,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
53,4,400,3,56232983,3,6615040,,,,,5,0,1,1,0,0,41,0,0,95,0,79,0,0,15,0,28,0,976,0,0,8,0,960,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1
53,11,500,2,56232983,4,6615121,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,28,0,976,0,,38,0,0,64,0,40,0,0,95,0,41,0,0,,0,77,0,0,79,0,78,0,0,335,0,79,0,0,,0,80,0,,,,84,0,1,0,0,0,,,,,,,,,,,,,,,,,,0,0
53,13,600,3,56232983,5,6615040,,,,,5,1,1,1,0,1,1,1,,,,41,0,,,,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,1,15
53,30,800,2,56232984,6,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
58,21,200,3,56232985,0,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
58,23,400,2,56232985,1,6615121,,,,,5,1,1,1,0,1,1,0,,0,0,3,0,,0,0,28,0,976,0,,38,0,0,64,0,40,0,0,95,0,41,0,0,,0,77,0,0,79,0,78,0,0,335,0,79,0,0,,0,80,0,,,,84,0,1,0,0,0,,,,,,,,,,,,,,,,,,0,0
58,25,500,2,56232985,2,6615040,,,,,5,0,1,1,1,1,28,1,976,0,0,41,0,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,0,1
58,41,400,3,56232985,3,6615040,,,,,5,0,1,1,0,0,41,0,0,95,0,79,0,0,15,0,28,0,976,0,0,8,0,960,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1
43,53,100,2,56652668,4,6615121,,,,,5,0,1,1,1,1,41,0,0,95,0,28,1,976,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
43,54,400,2,56652668,5,6615040,,,,,5,1,1,1,1,1,41,0,0,95,0,28,1,976,0,0,79,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,0,1
