head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,body_0,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,body_11,body_12,body_13,body_14,body_15,body_16,body_17,body_18,body_19,body_20,body_21
16777234,46024765,cell_0,132579601,721170,2,424,255,6615057,5ff7426aecf42ff9c0791ebe1975b2c8,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1343625,0,2,0,2432763123,1343625,0,0,0,2,,,96;-20;49;98;96,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024766,cell_0,132579601,721171,2,260,255,6615056,8f9d16180b6e6e94449ce760fb6ab18a,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1343520,0,2,0,1157647904,1343520,0,0,0,1,,,,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024767,cell_0,132579601,721172,2,10,255,6615056,3c4943e8ab431f25017cedeaf588b1ca,5cba29c06294c278e73e9261d04a0fd7,ad61ab143223efbc24c7d2583be69251,4294967295,1353014,0,2,0,704656680,1353014,0,0,0,2,,,-58;-7;-20;-59;54,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024768,cell_0,132579601,721173,2,90,255,6615057,40760ac9a1af28b6fc0c5cc93da43280,3cfacd1beeeb00db3c2afc128dc13b7c,c4ca4238a0b923820dcc509a6f75849b,4294967295,1417146,0,2,0,855654269,1417146,0,0,0,2,,,-25;-92;-29;57;68,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024769,cell_0,132579601,721174,2,220,255,6615056,f1b891195784594763ac51b5b2b7928d,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1506021,0,2,0,1157637168,1506021,0,0,0,2,,,-27;-11;-102;65;-42,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024770,cell_1,132579601,721192,1,895,255,6615056,f65248502d5ae910c615cc175d728eaa,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1662582,0,2,0,1157629326,1662582,0,0,0,2,,,68;-93;-98;105;11,72,50000000,150000000,4294967295,0,-122;33;103;5,0,103;-1;-1,0,0,1540
16777234,46024771,cell_1,132579601,721204,1,780,255,6615056,c1a209c98d69cb91b6de5c857b0ff2e5,5cba29c06294c278e73e9261d04a0fd7,ad61ab143223efbc24c7d2583be69251,4294967295,1607838,0,2,0,704654412,1607838,0,0,0,2,,,-73;34;11;-114;63,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024772,cell_1,132579601,721413,1,70,255,6615057,1d293af537156a82a961ba1b0b31aaa3,3cfacd1beeeb00db3c2afc128dc13b7c,cfcd208495d565ef66e7dff9f98764da,4294967295,1358535,0,2,0,2432745270,1358535,0,0,0,1,,,,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024773,cell_1,132579601,721415,1,510,255,6615056,580a860eb2bfb1a791a2c2155d07eac3,5cba29c06294c278e73e9261d04a0fd7,3295c76acbf4caaed33c36b1b5fc2cb1,4294967295,1438777,0,2,0,1157641046,1438777,0,0,0,2,,,18;29;61;-25;-19,72,-1,-1,4294967295,0,-1;-1;-1;-1,0,-1;-1;-1,-1,0,1540
16777234,46024774,cell_0,132579601,721421,2,970,255,6615056,89f471877feadfd030b499dc09ea91dc,5cba29c06294c278e73e9261d04a0fd7,a3f390d88e4c41f2747bfa2f1b5f87db,4294967295,1541726,0,2,0,402666932,1541726,0,0,0,1,,,,199,78643000,314572000,4294967295,0,-122;41;-111;4,0,96;-1;-1,99,0,1540
